date,time,kw,datetime,month,day,weekday,hour,temperature,precipitation,weather,humidity
2019/1/1,1:00,2849,2019-01-01 01:00:00,1,1,1,1,1.4,0.0,0.0,0.58
2019/1/1,2:00,2730,2019-01-01 02:00:00,1,1,1,2,2.1,0.0,0.0,0.59
2019/1/1,3:00,2636,2019-01-01 03:00:00,1,1,1,3,1.5,0.0,0.0,0.59
2019/1/1,4:00,2579,2019-01-01 04:00:00,1,1,1,4,1.4,0.0,0.0,0.59
2019/1/1,5:00,2592,2019-01-01 05:00:00,1,1,1,5,1.1,0.0,0.0,0.51
2019/1/1,6:00,2726,2019-01-01 06:00:00,1,1,1,6,2.5,0.0,0.0,0.53
2019/1/1,7:00,2905,2019-01-01 07:00:00,1,1,1,7,1.5,0.0,0.0,0.5
2019/1/1,8:00,3014,2019-01-01 08:00:00,1,1,1,8,3.1,0.0,0.0,0.4
2019/1/1,9:00,2886,2019-01-01 09:00:00,1,1,1,9,5.8,0.0,0.0,0.38
2019/1/1,10:00,2713,2019-01-01 10:00:00,1,1,1,10,7.1,0.0,0.0,0.33
2019/1/1,11:00,2564,2019-01-01 11:00:00,1,1,1,11,8.6,0.0,0.0,0.34
2019/1/1,12:00,2472,2019-01-01 12:00:00,1,1,1,12,9.6,0.0,0.0,0.33
2019/1/1,13:00,2421,2019-01-01 13:00:00,1,1,1,13,10.2,0.0,0.0,0.3
2019/1/1,14:00,2426,2019-01-01 14:00:00,1,1,1,14,10.2,0.0,0.0,0.45
2019/1/1,15:00,2501,2019-01-01 15:00:00,1,1,1,15,9.2,0.0,0.0,0.45
2019/1/1,16:00,2736,2019-01-01 16:00:00,1,1,1,16,8.6,0.0,0.0,0.52
2019/1/1,17:00,3052,2019-01-01 17:00:00,1,1,1,17,6.4,0.0,0.0,0.59
2019/1/1,18:00,3141,2019-01-01 18:00:00,1,1,1,18,6.2,0.0,0.0,0.6
2019/1/1,19:00,3160,2019-01-01 19:00:00,1,1,1,19,6.0,0.0,0.0,0.7
