date,time,kw,datetime,month,day,hour,weekday,temperature,precipitation,weather,humidity
2018/1/1,1:00,2797,2018-01-01 01:00:00,1,1,1,0,1.5,0.0,0.0,0.83
2018/1/1,2:00,2669,2018-01-01 02:00:00,1,1,2,0,1.0,0.0,0.0,0.8
2018/1/1,3:00,2586,2018-01-01 03:00:00,1,1,3,0,1.2,0.0,0.0,0.85
2018/1/1,4:00,2543,2018-01-01 04:00:00,1,1,4,0,0.6,0.0,0.0,0.8
2018/1/1,5:00,2570,2018-01-01 05:00:00,1,1,5,0,1.9,0.0,0.0,0.78
2018/1/1,6:00,2712,2018-01-01 06:00:00,1,1,6,0,1.6,0.0,0.0,0.79
2018/1/1,7:00,2880,2018-01-01 07:00:00,1,1,7,0,1.5,0.0,0.0,0.74
2018/1/1,8:00,2860,2018-01-01 08:00:00,1,1,8,0,2.7,0.0,0.0,0.64
2018/1/1,9:00,2842,2018-01-01 09:00:00,1,1,9,0,5.5,0.0,0.0,0.53
2018/1/1,10:00,2778,2018-01-01 10:00:00,1,1,10,0,8.1,0.0,0.0,0.41
2018/1/1,11:00,2638,2018-01-01 11:00:00,1,1,11,0,10.8,0.0,0.0,0.3
2018/1/1,12:00,2541,2018-01-01 12:00:00,1,1,12,0,12.2,0.0,0.0,0.3
2018/1/1,13:00,2475,2018-01-01 13:00:00,1,1,13,0,12.3,0.0,0.0,0.28
2018/1/1,14:00,2458,2018-01-01 14:00:00,1,1,14,0,12.4,0.0,0.0,0.3
2018/1/1,15:00,2495,2018-01-01 15:00:00,1,1,15,0,11.7,0.0,0.0,0.32
2018/1/1,16:00,2725,2018-01-01 16:00:00,1,1,16,0,10.5,0.0,0.0,0.33
2018/1/1,17:00,3033,2018-01-01 17:00:00,1,1,17,0,9.3,0.0,0.0,0.4
2018/1/1,18:00,3116,2018-01-01 18:00:00,1,1,18,0,8.0,0.0,0.0,0.44
2018/1/1,19:00,3128,2018-01-01 19:00:00,1,1,19,0,7.3,0.0,0.0,0.47
2018/1/1,20:00,3132,2018-01-01 20:00:00,1,1,20,0,6.7,0.0,0.0,0.51
2018/1/1,21:00,3094,2018-01-01 21:00:00,1,1,21,0,6.0,0.0,0.0,0.5
2018/1/1,22:00,2972,2018-01-01 22:00:00,1,1,22,0,5.9,0.0,0.0,0.52
2018/1/1,23:00,2833,2018-01-01 23:00:00,1,1,23,0,5.3,0.0,0.0,0.58
2018/1/2,0:00,2625,2018-01-02 00:00:00,1,2,0,1,3.8,0.0,0.0,0.48
2018/1/2,1:00,2495,2018-01-02 01:00:00,1,2,1,1,5.0,0.0,0.0,0.42
2018/1/2,2:00,2434,2018-01-02 02:00:00,1,2,2,1,5.6,0.0,0.0,0.4
2018/1/2,3:00,2394,2018-01-02 03:00:00,1,2,3,1,5.8,0.0,0.0,0.42
2018/1/2,4:00,2382,2018-01-02 04:00:00,1,2,4,1,5.3,0.0,0.0,0.52
2018/1/2,5:00,2436,2018-01-02 05:00:00,1,2,5,1,4.0,0.0,0.0,0.64
2018/1/2,6:00,2603,2018-01-02 06:00:00,1,2,6,1,1.3,0.0,0.0,0.55
2018/1/2,7:00,2805,2018-01-02 07:00:00,1,2,7,1,3.0,0.0,0.0,0.4
2018/1/2,8:00,2967,2018-01-02 08:00:00,1,2,8,1,5.6,0.0,0.0,0.35
2018/1/2,9:00,2939,2018-01-02 09:00:00,1,2,9,1,7.3,0.0,0.0,0.34
2018/1/2,10:00,2828,2018-01-02 10:00:00,1,2,10,1,8.2,0.0,0.0,0.33
2018/1/2,11:00,2718,2018-01-02 11:00:00,1,2,11,1,9.1,0.0,0.0,0.27
2018/1/2,12:00,2643,2018-01-02 12:00:00,1,2,12,1,10.0,0.0,0.0,0.29
2018/1/2,13:00,2588,2018-01-02 13:00:00,1,2,13,1,10.1,0.0,0.0,0.3
2018/1/2,14:00,2570,2018-01-02 14:00:00,1,2,14,1,9.9,0.0,0.0,0.33
2018/1/2,15:00,2619,2018-01-02 15:00:00,1,2,15,1,9.1,0.0,0.0,0.33
2018/1/2,16:00,2859,2018-01-02 16:00:00,1,2,16,1,8.0,0.0,0.0,0.33
2018/1/2,17:00,3181,2018-01-02 17:00:00,1,2,17,1,7.6,0.0,0.0,0.43
